質問,回答
keiko<Uc421fe425000b13c59488d36a7099153>: 注文について,
ｽ<Udcfd43575949797c571163283a31b491>: 正しい使い方,
"meka<U00604a2fe9913464a7722dccd244ac43>: 銘苅聡美
 09057277898
 1130mekaru@gmail.com","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご注文履歴はこちらのページでご確認いただけます。
 

 ▼最近の購入履歴
 https://shop.kaminidoramawo.jp/shop/customer
 

 昨日ご注文されたとのこと。
 ご注文の完了画面は表示され、ご確認いただきましたでしょうか？"
ｽ<Udcfd43575949797c571163283a31b491>: 使い方を見る,
小松 遥<Uf33c624646b82143638e29cfe1e91d5b>: ありがとうございます。大体外出しておりますので外に置いておいていただけると助かります,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 

 発送後、配送会社にご希望をお伝えいただけましたら幸いです。
 

 お受け取りにご不便をおかけいたしますが、なにとぞよろしくお願い申し上げます。"
かな<U01224532faa0b4bf4b4674e0f21f5419>: 注文について,
Me.y<U772b6039a0b21bc0851f63399b680478>: ありがとうございます,
小松 遥<Uf33c624646b82143638e29cfe1e91d5b>: また商品のキャンセルは可能でしょうか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
  
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
  
 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 ご不要の場合には、商品お受け取り後に、送料をご負担のうえ、下記までご返送ください。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-6655-0332
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします"
ｒｉｅ୨୧<U0700811797238607f98bb77f4bb6e8b3>: メッセージの送信を取り消しました,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご依頼を受け、髪にドラマを。公式オンラインショップの退会手続きが完了しました。
 これまでご利用いただき、誠にありがとうございました。
 

 また私たちでヘアケアをお手伝いできることがありましたら、嬉しく思います。
 その際には、お気軽にご連絡くださいませ。"
hito<Ud21fd2534811bd23a312eb23aebc4252>: 退会方法を教えていただきたいです。よろしくお願いいたします。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます☺️
 

 状況を確認いたしますので、
 登録氏名
 登録電話番号
 注文番号（わかれば）
 をお教えいただけますでしょうか？"
"錫木浩美: 注文番号：【425398-20250428-0158338484】
 カテゴリー：その他
 内容：メールで500円クーポンの案内がきて取得しましたが、購入時にクーポンが表示されません。
 どのように対応すればよろしいでしょうか。
 ご連絡お待ちしています。","【公式】髪にドラマを。楽天市場店: ご連絡ありがとうございます。
 

 クーポンが無事に反映され、ご利用いただけたとのこと、安心いたしました。
 お手数をおかけして申し訳ございませんでした。
 

 また何かご不明な点がございましたら、お気軽にお問い合わせくださいませ。
 

 今後ともどうぞよろしくお願いいたします。"
堀井 明莉<Uada6c55283e8f1918015a05bf27465dd>: 注文について,
美雪<U49bbe5445018aec76e1f0505a18a13d0>: 正しい使い方,
Rina<U7238b9d0841f4e18a184213b1726badb>: 注文について,
梨央<U1a4f238e7f1022252cdcb4b57c1fa466>: 注文について,
SAORI<Ua367960b27cafff27bdb41ba4a80c91c>: 注文について,
みさき<U9bbec94f92dd9ac0ffc1ae976598c44b>: 注文について,
ほのか<Uc436bc90578d36fd0fe7b7002ec7eab9>: 注文について,
sayu<Uc3bbbefd94de44487bb6c99fdb13613a>: 正しい使い方,
ゆか<U6b3790f520fe03e02cf2c12b52d3cc29>: 注文について,
Me.y<U772b6039a0b21bc0851f63399b680478>: メッセージの送信を取り消しました,
山口翔子🐶シャロンmama<Ufa1d7135f125153db4f1425c170457b9>: 注文について,
Mio<U68d9279390bbddafc4fac280b5facf6b>: 正しい使い方,
saki<U201d7950479c9741a0f82e10e45002bf>: 注文について,
百合野昌代<Uc3b819a1fdf2befc31fa43b9176670c4>: 正しい使い方,
豊永梨枝<U9050483981703ccb9ee4723409379962>: 注文について,
𝓝𝓞𝓐<U1a1e3dd84ac2b169ddf10d13fd72d5b0>: 注文について,
りー<U6fb73356a1885e55228ab00e24d5caf3>: 注文について,
MARI<U1419d7416273715ab76c82912f960016>: 注文について,
みくりや ちあき<Ua8aed97dd37195ea88e4ed8afd69ccdf>: 注文について,
ayami<Ue473bfcd4d80410df1e72dddd1c1582b>: 注文について,
みくりや ちあき<Ua8aed97dd37195ea88e4ed8afd69ccdf>: 注文について,
keiko<Uc421fe425000b13c59488d36a7099153>: 正しい使い方,
ひとみ<Ucf2e7f72f4a5cfdf3e35258b49d6ce11>: 注文について,
陽菜多<Udd41b6f0e86f61deef9a7e445faf7e64>: 注文について,
よっこ<U42ce99e63325f016a21b36753324bdfc>: 正しい使い方,
ask<Ue4939ee6d0aaac03028428661a645d23>: 正しい使い方,
"👎<U83ca5e28a1456ef4f9bbb542326b8e3b>: 質問です！つるりんちょシャンプーって
 縮毛矯正だけではなく、ブリーチしてる人にも効果ってありますか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせありがとうございます😊
 

 はい、ブリーチをされている方にも効果を実感していただけます。
 つるりんちょ。シャンプーは、洗いながら髪を補修する効果が高く、ダメージ補修成分を豊富に含んでいます。
 洗いあがりは、今の髪の状態で最大限つるつるとした手触りになりますよ。
 

 ご使用の際は、美髪に近づくため、使い方や量をご確認のうえ、正しい方法でご使用くださいませ。
 

 ▼商品詳細や使い方はこちら
 https://shop.kaminidoramawo.jp/shop/products/kdr020
 

 ▼つるりんちょ。シャンプー使用目安量はこちら
 ショート：1プッシュ
 ミディアム：2プッシュ
 ロング：2.5プッシュ"
はつえ（吉川)<Ua41de81d7217d63386dfa846d157cc0f>: 注文について,
みすみ のぞみ<U5e1cbb59092b3f11224b38a4c5001ef5>: 正しい使い方,
p<Ufef8532e562abb544ea1471fde4e17e1>: 正しい使い方,
ひろみ<Ud01daaf08ff266d599fa2dc3ca4a15b6>: 注文について,
Yu<Ua70f445aac66fbcdd4a1b01db7f8af4e>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただき誠にありがとうございます☺️
 

 ご返信までお時間をいただき、大変お待たせいたしました。
 

 恐れ入りますが、現在ご利用いただけるクーポンは特定のキャンペーンやイベント時に限り配布しております。
 

 最新のクーポン情報につきましては、公式LINEの他にメールマガジンにてご案内を差し上げておりますので、ぜひご登録のうえご確認いただけますと幸いです。
 

 その他、ご不明な点がございましたらお気軽にお問い合わせくださいませ。"
ふ🦔<U68e2c76b2629addede4798629de11dec>: 注文について,
👽🌱<U02b575a90d5c96f9a68dda8348a84643>: 注文について,
あや<Uec3eee783a8fab7226f65208e750c4b2>: 注文について,
三浦亜美<U1bf771d74e6ad6349ef172639600a647>: 注文について,
ひより<Ua8c14a6d0dc509d53438c3d9aa33c870>: 注文について,
磯岡健太郎<Udf3e17a166fdf1912f35b6433d35efde>: 正しい使い方,
三浦 英樹<Uee56cc8dcd545c45531bfab297cdc780>: 注文について,
𝓪𝓴𝓪𝓷𝓮<U98250cafd1118d99e7e16a80e0a85f27>: 注文について,
美明<Ucd619cbe083d013e0d5e42a0d421aaf2>: 注文について,
はしぐちもえ<U9cdf811a2b4826ec47cd627b340eceaf>: 注文について,
miho<U4c5b9247da105d335e5c51154108c118>: 正しい使い方,
Hiromi<U8802b77781f7972a07a9a42c218f91ab>: 正しい使い方,
児玉雅代<U24900011712f5605ff0f8018d042235b>: 注文について,
maiko<Uffe1d29b994b896a6eb096f744bb8a3a>: 注文について,
豊浦貴子<U7aa51115e05f5661c22c3788f4ba4292>: 注文について,
yoko<Ua300a321d7d5aba82f9eb1835f53135c>: 正しい使い方,
まりな<U3001d9627b2821e75ea086d4d9d966e5>: 正しい使い方,
こころ<U7b5603dae6f552fc515188d422cc3d1e>: 正しい使い方,
あや<U302ba4fbf39bd9a3beeec313ec28b0ec>: 正しい使い方,
のぞえまゆ<Ue24a8bb20a7823e57ac727f891ad1900>: 注文について,
みぃちゃん<U06d66f776d9dc7f2ec312ae21f62026b>: 注文について,
松原 未亜<U20895e80587856b99b4c8b0461c21e70>: 注文について,
すーさん<U8faa72c787c50bcad04a369000a4f05c>: 注文について,
小島麻子<U6f6a6077ed6cf40eaa955e05dc65c321>: 注文について,
YokoYamazaki<Uef59ed3aac7c4c887ba1ff37f3d7929f>: 正しい使い方,
Yuki<U131ece155c36a88eb2bb6c18e2aac4ba>: 正しい使い方,
あいだしおり<U913946bd19b0215af24bcdbbe1b70255>: 注文について,
"まるちゃん<Uf92adad5030ed1141cc4ab6c2129069c>: 04af2223c8
 こちらの配送予定日はいつになるでしょうか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信までお時間をいただき、大変お待たせいたしました。
 配送状況をお調べしたところ、以下の状況でございました。
 

 ------------------------------------------------
 2025/05/07 08:07 到着 配達予定日：5月7日
 ------------------------------------------------
 

 誠に恐れ入りますが、今一度、ご確認いただけますでしょうか。
 何卒よろしくお願いいたします。
 

 ─────────────────────
 商品の配達状況・履歴はこちらの情報でご確認いただけます
 ─────────────────────
 

 配送業者 ゆうパック
 配送伝票番号  369583421351
 トラッキング URL https://trackings.post.japanpost.jp/services/srv/search/input"""
櫻子<U6f60d093da5b4a39b614d9dc66f19cdf>: 注文について,
もえ<Ua61f8e4d8e2ed9353346bb5965fc6372>: 注文について,
e<Uf0c8f3bc0e00e752a804dc68bbf64858>: 注文について,
田形昌枝<Uda5debe76c97ad4327ae4b8b6b510397>: 注文について,
JUN♡<U4442b9eec12cc36643f82b79a7a23eeb>: 正しい使い方,
koharut<U9e5c0d4ed9c64bffba3c16fb7d6ac710>: 注文について,
花ちゃん<Ufdea331ea85615a17730bf26fbb8baac>: 注文について,
あき<Uf22fdf24186c18c96fea1f8da2ec735f>: 注文について,
87<U2dc5db7356aa4891f5b1eec00bde9284>: 注文について,
🍷마리🍷<Uf33dc0d16fde14b02751c8e44a103cdd>: 注文について,
聖菜<Uac31001023d3bb9aee6fa4117beeb360>: 注文について,
大塚<U250c09fc5d5b6fb2d488525b0b3fc600>: 正しい使い方,
あみ<U3ae2db1c61007b3918a20ac39adc9e9f>: メッセージの送信を取り消しました,
さとうけんたろう<U1d04a2deecd82403a36d7e248d8f8f15>: 正しい使い方,
澤(益田)美穂<U39f98e47403e8360dc1b2b5c4bf17d39>: 注文について,
かわかみともこ（りく・りお）<U9cb24e881ccf521c43de08068b22cc3d>: 正しい使い方,
Yuki<U27979e3b2b9fd592402280ba5582c44c>: 正しい使い方,
カオリ<U8a79e2de2b63f9dc4b9a6774f803b100>: 注文について,
はすのり<U960f160a9333cdddf51256b741a3c18b>: 注文について,
hanako<U67142409a0b37ec8d3e0a68005fedce8>: 注文について,
美夏<Uf674e8dd7c352dfdb9539fe16883a294>: 正しい使い方,
yoshi.u<U6520d8f1f2b324b909d3704754b46839>: 注文について,
kumi yamamoto<U1bd5b4525e06fd66f690e8e8ebad7714>: 正しい使い方,
田代和代<Ue4d284189264a153dd260f99971749d4>: 注文について,
Mi☆<U5140b42338ad56b27cccdd3f0ee07697>: 注文について,
o.yoko<Ue5957828884bdb9f18d597cdee5438d0>: 注文について,
레짱<U882d5da8dabdc4935964c3f608d4d193>: 注文について,
kana<Udfff4650935977d424140ba9b10dca26>: 注文について,
田邊 彩華<U58cb9c28f1e95e41cc412c610d48b3b1>: 注文について,
りこ<Ud161bd11498c8ec87bbafe5570de5828>: お試しセットが届かない,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます☺️
 

 状況を確認いたしますので、
 登録氏名
 登録電話番号
 注文番号（わかれば）
 をお教えいただけますでしょうか？"
えり<Ub6f422c51c2b1cb88b2a99e697603d75>: 正しい使い方,
谷口千春<Uab2938a4aac6c3ef5306dc6ede5cd409>: 注文について,
入澤 菜摘<U8321823978a721102c475e1fe42cdcae>: 注文について,
o.yoko<Ue5957828884bdb9f18d597cdee5438d0>: 現在、つるりんちょシャンプートリートメントのセットを使用しています。シャンプーがあまり合わず他のメーカーのシャンプーと、つるりんちょのトリートメントの組み合わせで使用した場合、トリートメントの効果はありますか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせありがとうございます😊
 

 つるりんちょ。をシャンプーとトリートメントのセットでご愛用いただき、ありがとうございます。
 

 基本はセットでお使いいただくことで、髪の凸凹を補うというつるりんちょ本来の効果を得られますが、トリートメントのみの場合でも、まとまりやしっとり感、手触りの向上は得られます。
 

 

 なお、シャンプーの泡パックにより補修成分を浸透させつつトリートメント成分を定着させるベースができますので、セット使いで、より一層効果を実感していただける処方となっております。
 つるりんちょ。シャンプー、お手元に残りがございましたら、ぜひ、状況をみながらセット使いもご検討くださいませ。"
臼井(矢崎) 渚<U8cd2630f6f4673f506bcb56295130cb4>: 注文について,
かなえ<Ue35b339ae3edc2cd3be84a43be45dd55>: 注文について,
武<U2073d4a012898318d673bc9c7568eb02>: 正しい使い方,
まゆみ<U5cec5b3f28dcf9fa95d984bc566022e7>: 注文について,
AKIKO<U6560754313e879b81863305594933d26>: 正しい使い方,
Tomo<U796d6a0301665b0610748e005adbeeee>: 注文について,
"Yuri<U9d60d88977f1b67cb8ad18f3d6a69a1c>: お世話になっております。
 

 定期注文していた、
 【いるかのせなかオイル】を削除したいのですが「定期受注内に定期商品が1つしかないため削除できません。」と出て削除できません。
 

 定期注文の停止をお願いできますでしょうか。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただきまして、ありがとうございます🙇‍♀️
 

 定期便の解約は、「マイページ」より行っていただけます。
 下記の方法でお手続きいただけますようお願いいたします。
 

 ▼定期便の解約手順
 

 １）マイページにログインしてください
 https://shop.kaminidoramawo.jp/shop/customer
 

 ２）ご利用中の定期購入（次回お届け予定）の「詳細を見る」をクリックしてください
 

 ３）画面下までスクロールして、「定期便を停止」のボタンより解約していただけます
 

 該当定期便のステータスが「停止」となっている場合は解約完了。
 次回以降、お届けしない手続きが完了となります。
 

 ※なお、すでに確定しているご注文につきましては、解約後であっても発送されますので、あらかじめご了承ください。"
"前田英花: 注文番号：【425398-20250505-0025339208】
 カテゴリー：商品詳細
 内容：何日に届きますか？","【公式】髪にドラマを。楽天市場店: このたびはご注文ありがとうございます。
 

 ５月５日にご注文いただいておりますので、１２日までに発送予定です。
 

 前田様のお届け地域なら、通常、発送から１〜２日程度でお届け予定です。
 

 発送完了後には配送伝票番号をご案内いたしますので、どうぞよろしくお願いいたします。"
堀井 明莉<Uada6c55283e8f1918015a05bf27465dd>: 正しい使い方,
小松 遥<Uf33c624646b82143638e29cfe1e91d5b>: 承知いたしました。ありがとうございます。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご理解いただきありがとうございます。
 その他にご不明な点やお困りのことがございましたら、いつでもご連絡くださいませ。"
みく<U2a4433fe985eb509e209bc1f0b79835d>: 注文について,
じゅり<U5fe258494c41cc9954784497b2ef6af8>: 注文について,
Asa Kamiya<Uff9d27f1526c799c021a2a477c77a045>: 定期便解約お願いします,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただきまして、ありがとうございます🙇‍♀️
 

 定期便の解約は、「マイページ」より行っていただけます。
 下記の方法でお手続きいただけますようお願いいたします。
 

 ▼定期便の解約手順
 

 １）マイページにログインしてください
 https://shop.kaminidoramawo.jp/shop/customer
 

 ２）ご利用中の定期購入（次回お届け予定）の「詳細を見る」をクリックしてください
 

 ３）画面下までスクロールして、「定期便を停止」のボタンより解約していただけます
 

 該当定期便のステータスが「停止」となっている場合は解約完了。
 次回以降、お届けしない手続きが完了となります。
 

 ※なお、すでに確定しているご注文につきましては、解約後であっても発送されますので、あらかじめご了承ください。"
HirokO*★<U974c9dc787ffbd31589e291abe75126b>: 注文について,
"西村美結: 注文番号：【425398-20250501-0549038640】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：先日注文させていただきました商品につきまして、事情により不要となりました。
 大変恐縮ではございますが、可能であればご返金対応をお願いします。
 確実にご返金いただけますよう、何卒よろしくお願い申し上げます。","【公式】髪にドラマを。楽天市場店: このたびはご連絡くださいましてありがとうございます。
 

 ご注文いただきました商品につきまして、メールでご連絡の通り、クレジットカードの利用承認が得られなかったとのことで、ご決済は未完了の状態でございました。
 

 ご注文はキャンセルさせていただきました。
 

 このたびの件につきましてご不明な点がおありの際は、恐れ入りますが、再度お尋ねくださいませ。
 どうぞよろしくお願い申し上げます。"
賀子<U84217500f2c258d8d6f83a6f8e56efb1>: 注文について,
sayu<Uc3bbbefd94de44487bb6c99fdb13613a>: 注文について,
honoka<U12ad16128656d036e2719ba18c95dae4>: 正しい使い方,
麻貴<U2f362be3264deb7d28614c33dcb80f67>: 正しい使い方,
ゆうこ かねこ<U60e81960fd603a6771229fce43ed8412>: 正しい使い方,
え<U6b487f895a9aba505c76aaa336c6577a>: 注文について,
大澤文子<Uf9c64b64faf6ae8781aace3311aa94f4>: 注文について,
あつよ<U22324fae0ad0765e29da51d255a13199>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信までお時間をいただき、大変お待たせいたしました。
 ご不便をおかけして申し訳ございません。
 

 状況を確認いたしますので、
 登録氏名
 登録電話番号
 注文番号（わかれば）
 をお教えいただけますでしょうか？"
"吉山郁未: 注文番号：【425398-20250505-0246239373】
 カテゴリー：商品配送について
 内容：母の日の贈り物のため、金額が分かる用紙は入れずに配送して下さい。よろしくお願いします。","【公式】髪にドラマを。楽天市場店: お問い合わせいただきありがとうございます。
 母の日の贈り物としてご利用とのこと、心より感謝申し上げます。
 

 弊社では、金額の載っている納品書や明細書はお入れしておりません。
 お支払いもクレジットカードにてご決済いただいておりますので、配送伝票にも金額は表示されません。
 この点どうぞご安心くださいませ。
 

 ただ、商品ラインナップや使い方をご案内する冊子を封入しておりまして、あいにくこちらには商品の価格の記載がございます。
 出荷をすすめる中で、この冊子を封入しない対応が難しく価格がわかるものをお入れしないご希望に沿うことができません。
 ご希望に添えず、大変申し訳ございません。
 

 なお、商品の使い方をご覧いただくことで、いるかのせなか。の効果を最大限に実感していただけると考えております。
 同封する冊子もお役立ていただけましたら幸いでございます。"
Kei<Ud9f0190513486376efba57c4f93f6e9a>: 注文について,
"まきこ<Ub481794a9154137fc8ebbf4f8ba2b40d>: 質問です。
 アンケート回答のクーポンコードを頂き、使用したいのですが定期便には使えるんでしょうか？
 使えない場合は単品注文のみですか？
 使える場合どこに入力するのか分かりません。
 宜しくお願いします。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご質問いただきありがとうございます。
 

 アンケートのクーポンコードにつきましては、次回8月2日お届け予定の定期便c861889dc6に登録してくださったことを確認させていただきました。
 

 どこに入力するのかとマイページをいろいろとみてくださったことと思います。
 ご確認・ご設定をいただきまして、ありがとうございました。
 

 クーポン割引は、8月2日お届け予定の次回定期便にて適用されますので、ご安心くださいませ。
 

 そのため、改めて単品注文などでのご利用は不要となっております。
 今後ともどうぞよろしくお願いいたします。"
유나<U5b408154ab41334d98086d8aa214c040>: 注文について,
"はるか<Ub3affc85c44edcb87bafcc9235dd7ac9>: 退会希望のため、お手続きをお願いします。
 登録氏名:野田遥
 電話番号:090-7825-3839
 メールアドレス:milocha_mfmfroll@ezweb.ne.jp","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご依頼を受け、髪にドラマを。公式オンラインショップの退会手続きが完了しました。
 これまでご利用いただき、誠にありがとうございました。
 

 また私たちでヘアケアをお手伝いできることがありましたら、嬉しく思います。
 その際には、お気軽にご連絡くださいませ。"
咲帆<U32771b7092674fb3b33a678f54a2f711>: 注文について,
みくりん<U7c82f2fb5dbb9a6a2b7f00b178157bf3>: 注文について,
神谷 澪奈<Ube6be120d0f041987a89369aa914b81c>: メッセージの送信を取り消しました,
リエチン<U162f3637c11dad2ab609e384552c1a0d>: 注文について,
チョコ<U219334f2d854fddb97a680be2915cdab>: 注文について,
加藤 梨沙<U465de72cbecd6fc344ca268167a787e8>: 正しい使い方,
✫☾りさ★ ✫<Ud8edf605cb71d70c9d120647db83790f>: 注文について,
🐰💓<U4a4986177448c3b5f3bd42386937e2db>: 注文について,
みっちゃん<Ua2c88d59326a42e305621e86b2ddea01>: 注文について,
中野 義和<Ubbecefc941634467234dc4b641f7c491>: 不在票が来ている段階で、受け取っていない商品を返品したい。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは、ご連絡くださいまして、ありがとうございます。
 

 お調べいたしましたところ、２つの定期便は、5月6日に解約手続きを行っていただいた履歴が確認できました。
 今後、お届けは停止となっております。
 どうぞご安心くださいませ。
 

 

 返品のご希望をいただきましたご注文075128d5b4につきまして
 定期便を解約くださった5月6日よりも前の4月23日にご注文075128d5b4が確定・発送されました。
 

 商品につきまして未開封商品の返品を承ります。
 

 商品をお受け取りいただきましたら、送料をご負担のうえ、1週間以内にご返送くださいませ。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
  
 返送品が到着いたしましたら、ご注文のキャンセル・返金手続きを行わせていただきます。
 ご確認とご手配のほど、よろしくお願いいたします。"
脇田 未夢<Uf1be715d656c74d60c9dd8301db59514>: 注文について,
🎶miyuki🎶<Uaec56f944f7f2124635c92484edd3047>: 注文について,
伊藝未紀<U9d43b46643ad14fb6d0590e2223bd332>: 注文について,
かわさき ひびき<Ue39b3eeff6552fa5fdae0c9f0858186e>: 注文について,
西村 翼<U471e64c9a187a881fbffa17457266f5c>: 注文について,
yumi<U4cef240929bab57e4de645fc9f23a867>: 送料はいくらですか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただき、誠にありがとうございます。
 「髪にドラマを。」公式オンラインショップでの送料についてご案内いたします。
 

 当ショップでは、ご注文方法（定期便・通常購入）にかかわらず、送料は「髪にドラマを。」が負担いたします。
 ※お客様ご負担の送料：0円
 

 ただし、以下のような場合には追加費用が発生することがございますので、ご注意ください。
 

 ◆転送料
 お客様のご都合による配送先の変更（転送）が発生した場合、転送料が別途発生いたします。
 ※転送料：配送会社の定価運賃に基づき、着払いにて発生
 

 ◆その他手数料（離島料・中継料など）
 一部地域では、別途手数料が発生することがございます。
 該当地域へのお届けの場合は、ご注文時にサポート係よりメールにてご案内いたします。
 

 詳細はご利用ガイドをご確認ください。
 ご不明点がございましたら、お気軽にお問い合わせください。
 

 ▼ご利用ガイド
 https://shop.kaminidoramawo.jp/shop/guide"
樹理🫡✋️💋<Ua9fa8a28c5e3c46cac02d0aba4a67000>: 正しい使い方,
★≡  岩﨑 彩  ≡★<U54e9c978dae282daad8dcf1a9b1ca5a7>: 正しい使い方,
夕渚<U71d185c764f630e9aca58739568ccc1f>: 注文について,
K♡<U01dd98b5c1b2ef26c5415f2e333c3424>: 正しい使い方,
綺音<U9e2f52e308f69e0ff8714b4bbdf98996>: 母の日限定セットを2セット購入したいのですが、もう販売はありませんでしょうか？😭,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 母の日ギフトをご検討いただきまして、ありがとうございます☺️
 

 「買い逃してしまった」というお問い合わせを他の方からもいただきましたので、先ほど、お申込みいただけるようにいたしました！商品ページからご注文いただけます☺️
 💐母の日ギフトはこちら
 https://shop.kaminidoramawo.jp/shop/products/kdrs027
 

 ご用意できた数量がわずかなので、お早めにお申し込みお願いいたします🙇‍♀️"
ふぁんそな<U7180bd4a9be7e74d3c17fc25799392c8>: 正しい使い方,
ふうな<U7dbcc1a69b948900bd2654b347ccfda0>: クーポン,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただき誠にありがとうございます☺️
 

 恐れ入りますが、現在ご利用いただけるクーポンは特定のキャンペーンやイベント時に限り配布しております。
 

 最新のクーポン情報につきましては、公式LINEの他にメールマガジンにてご案内を差し上げておりますので、ぜひご登録のうえご確認いただけますと幸いです。
 

 その他、ご不明な点がございましたらお気軽にお問い合わせくださいませ。"
tomo<Uc19bca17585a6d60224278889c79ed34>: 注文について,
momona<U6eb6a433cc474f2d3286a4d200950b1b>: 母の日限定木箱はもう注文出来ませんか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 母の日ギフトをご検討いただきまして、ありがとうございます☺️
 

 「買い逃してしまった」というお問い合わせを他の方からもいただきましたので、先ほど、お申込みいただけるようにいたしました！商品ページからご注文いただけます☺️
 

 💐母の日ギフトはこちら
 https://shop.kaminidoramawo.jp/shop/products/kdrs027
 

 ご用意できた数量がわずかなので、お早めにお申し込みをお願いいたします🙇‍♀️"
ゆきみ<U3f2918d17f0a2dc524d4e9910d331a54>: 注文について,
momona<U6eb6a433cc474f2d3286a4d200950b1b>: ありがとうございます😭,
"上林将太: 注文番号：【425398-20250505-0750139194】
 カテゴリー：その他
 内容：置配でお願いします","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
  
 ご依頼いただきました内容は、配送会社へ連絡させていただきました。
 

 なお、連絡の行き違いや配達状況によっては商品を持ち帰る場合がございます。
 その場合には、お手数をおかけいたしますが、再配達のご依頼を行っていただけますようお願いいたします。
 

 [お荷物伝票番号] 369497597545
 [配送会社] 日本郵便
 

 ※お荷物追跡問い合わせサービスURL
 https://link.rakuten.co.jp/1/084/990/
  
 [受注番号]425398-20250505-0750139194"
SEIKA☺︎<Uc384a7b0c0259d90b6d66327b36e4144>: 注文について,
杉山 小百合<U13068eb9eb90800654d807e67c0d3b31>: 注文について,
さいとう みお<U637569f47e5b796290ee6e9121da4c14>: 注文について,
a<U686603aaa30c8ca9a342dd44f5093389>: 注文について,
かなめ<U98e509155432725ade9b4aa417a1a919>: 正しい使い方,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): この度は、つるりんちょ。ブースターの使い方についてお問い合わせをいただきありがとうございます。
 

 つるりんちょ。ブースターの使い方はこちらのページよりご確認いただけます。
 https://shop.kaminidoramawo.jp/shop/products/kdr029
 

 なお、ご使用目安量は、全レングス３プッシュです。
 

 上記ページをご確認いただきまして、ご不明な点がおありの際は、恐れ入りますが、再度お尋ねくださいませ。
 どうぞよろしくお願い申し上げます。"
木村美幸<U1228d90bafc68aac1d90672e477d1e19>: 注文について,
リ オ<Ud78053a83374902c833137f3ef672010>: 注文について,
渡辺美江(今井)<U19ea494af7ae419c553bab18425b90db>: 正しい使い方,
チッチ<Uc9e76ace2d47dbe8868ffae53ea5c038>: 正しい使い方,
YUUKA.A<U5eb7ab3b494169b0fa3dca327ee994a6>: 正しい使い方,
松井ゆか<U2c5a090e4bd34d08ac0b36cfc7bacb94>: 正しい使い方,
